"brukercode","acquisition_date","acquisition_time"
"712e9375_97cf_4347_9716_296d175a8529","2015-11-21","09:23:51"
"9c00a487_43f0_4636_801b_5515bcf60be9","2015-11-21","09:24:55"
"fa7e0acd_8898_4e01_bb01_d5906b98613b","2015-11-21","09:25:02"
"066b8bb5_5ade_40cd_ad07_d8d38f3589f8","2015-12-26","10:52:33"
"0976a0ad_c235_4584_9353_8f052a7a5715","2015-12-26","10:53:00"
"0f1b40f3_248c_43f5_9dfa_d46f003961b7","2015-12-26","10:51:13"
"1cf7e12a_ba4f_49cd_9cf7_438093436e3f","2015-12-26","10:52:02"
"2778f800_28fd_4a6e_872c_4de3899e6706","2015-12-26","10:53:14"
"4b171d15_d69c_4f48_939e_84d9c2b1cdcf","2015-12-26","10:52:54"
"5396ebd2_9205_4c65_a634_1486aa87eb6f","2015-12-26","10:52:50"
"58cb91f8_a2e8_4b46_9c7e_82a582bb516b","2015-12-26","10:51:29"
"71039b0d_88f0_4b4e_83c4_c103ec253cdf","2015-12-26","10:53:35"
"73bbb31e_622c_4356_9cca_2516a01c4087","2015-12-26","10:52:07"
"8c9078e9_8272_4ea2_9d57_6fab48248ec6","2015-12-26","10:51:17"
"ae6c9fe7_a6e4_4856_bd29_86b404b99da3","2015-12-26","10:53:22"
"aef5a11e_f9b8_4416_affe_25ceac01b235","2015-12-26","10:51:58"
"b119ff1c_ee34_4cf2_b1e7_4ea92fae8b98","2015-12-26","10:51:38"
"c07f6038_2015_4167_b07e_8191a66c9bad","2015-12-26","10:52:11"
"c9f1543f_ec6f_4655_bf80_a6f362d0b511","2015-12-26","10:51:21"
"d7106dc9_dbad_4017_80e1_b36fcea15599","2015-12-26","10:53:08"
"da863709_62ae_4342_a13b_97e5a098e1d7","2015-12-26","10:51:51"
"f6a11bfe_4c8e_4efa_b606_17826ba9cdc1","2015-12-04","13:08:48"
"0bc7ee8f_35d8_4f04_b07c_4e2177b95059","2015-12-01","10:59:46"
"305b8934_19b4_440d_91ed_eff4f4b48f79","2015-12-01","10:59:10"
"6b42818e_a50d_4e7c_93d9_cec31f2cce63","2015-12-01","10:58:58"
"72d9104f_e9b0_44c9_8bd0_d24a3979cc5d","2015-12-01","10:59:56"
"7f8d0fcc_fa39_4c0c_b9ab_fa8461a423d0","2015-12-01","11:00:06"
"8fc66d6b_e578_487c_847b_0c1b9daaafd0","2015-12-01","10:59:32"
"d0fa7c83_7735_4bd7_a268_8674c4be451e","2015-12-01","10:59:19"
"f6107596_6455_4b26_95e9_131a60567b70","2015-12-01","11:00:15"
"20184eb8_85b6_4b83_92a7_cdec8d292150","2015-12-14","12:56:42"
"e5d9c0de_c1d9_4f5c_a980_775461220051","2015-12-14","12:56:10"
"e94154d1_bf38_4398_a62d_095362545990","2015-12-14","12:57:16"
"2af97e3a_aa32_439b_982c_063e3111ef8d","2015-11-19","12:01:15"
"7e837d09_a023_4841_9c6b_60e1473550da","2015-11-19","12:00:49"
"64ec38e3_2e4c_4fac_a9c5_b436c19400cb","2015-12-15","14:42:25"
"c5ae6e7f_efb2_4c00_8c6f_f830ab1814a1","2015-12-15","14:43:06"
"e2026748_94db_43b2_8c19_46328f884fe5","2015-12-15","14:43:53"
"35576280_f284_46cd_9906_e581ae6c8b16","2015-12-07","09:29:43"
"4b7521cd_d94b_4d23_8ff4_325c7acef84f","2015-12-15","12:24:13"
"870e50e5_7c29_405c_b336_daa1b4468867","2015-12-03","15:09:31"
"ba627ac3_7194_4d82_be4f_45cda5e4b0a9","2015-12-03","15:09:36"
"e1963807_4d9b_4933_895f_5127707f7caa","2015-12-03","15:09:06"
"1178c2bc_41ec_4252_a41c_69b81e283bf4","2015-12-04","11:32:44"
"5a8af9c1_db90_4bde_943c_e4ed3d3bb667","2015-12-04","11:33:28"
"5dc3289e_5d66_4fd4_a99a_9cd217ce7bff","2015-12-04","11:33:05"
"8b64675a_9280_4b71_9e5c_1fe855ca97fd","2015-12-04","11:32:50"
"bf72d768_ff70_4073_9a4a_480a31f786c9","2015-12-04","11:32:55"
"e2c8cf84_78be_4853_ad11_6456164a6ca7","2015-12-04","11:32:02"
"f025c470_f931_4ad7_88ac_d30c601d496c","2015-12-04","11:32:22"
"f61d9db2_b84b_4ece_a439_99e594c6e58c","2015-12-04","11:33:20"
"f64e7b8f_f970_4544_8871_0fe61a635712","2015-12-04","11:32:09"
"2e4ea4f9_0762_4d27_8a13_6897b8a8797c","2015-12-09","09:10:45"
"6712be76_95f2_492c_a19f_6087014b69f7","2015-12-09","09:09:54"
"71c3b3a6_9b71_4507_b9af_50232efb12b3","2015-12-09","09:11:23"
"8332d32a_108e_43eb_94de_461a1b7c2529","2015-12-09","09:09:49"
"937d0eb9_248f_42fb_8e7c_d566c02d19d9","2015-12-09","09:10:35"
"96e39125_2dc7_4dac_a628_22a14fc32129","2015-12-09","09:10:09"
"9dc2618e_f86b_42b8_94c4_d47f021ed781","2015-12-09","09:10:51"
"9ebd98b4_3ccb_4cec_b3fa_2b0690f10acc","2015-12-09","09:10:16"
"aaac5ba7_059d_4d28_8d2c_aedc792098aa","2015-12-09","09:10:30"
"ba691a9a_b833_4e7c_a1e8_e1bda7600ba3","2015-12-09","09:11:00"
"c298bb7c_f7bf_4f0d_b4ae_315d0cf392b8","2015-12-09","09:11:07"
"010b3362_5ecc_44da_ae35_f21413683f61","2015-11-28","11:05:29"
"01112b11_86f7_4d1b_9d8b_e61787b5046f","2015-11-28","11:05:53"
"05b4ab04_624a_474a_b071_535e76dac27e","2015-11-28","11:01:17"
"10dfc346_37fd_4493_bb77_94c156fdd3d6","2015-11-28","11:04:29"
"137d7943_f8a6_47e0_ae08_a3f951b85b3b","2015-11-28","11:05:07"
"23807ed9_0864_4365_ad39_5258d4691364","2015-11-28","11:02:35"
"2cb630c8_ea60_4abe_a141_d20e4e3f8e18","2015-11-28","11:01:06"
"34fe20c6_d49f_4d65_b7c2_f4b813bf6008","2015-11-28","11:06:02"
"3565a67f_5fc0_42cf_b098_e2f7273a4cdd","2015-11-28","11:01:32"
"3d56a39f_332e_4fbc_8fb7_191d2966ec8e","2015-11-28","11:05:36"
"43656e4e_d08e_4bc4_a9f7_64d2bf56b787","2015-11-28","11:04:45"
